1 | 1 | TC8445 | GTYI Running | 71
421 | 441 | QA3093 | WQSY Running | 284
427 | 487 | AC8893 | AMZJ Running | 102
429 | 429 | YM2844 | IDRA Running | 82
432 | 492 | CC3461 | GTYI Running | 116
441 | 441 | XD8404 | WQSY Waiting | 158
448 | 538 | KF5759 | ZCDT Running | 52
454 | 522 | TC8445 | GTYI Running | 377
457 | 517 | LM5481 | AMZJ Running | 267
459 | 459 | YM2844 | IDRA Running | 52
462 | 552 | XW4956 | GTYI Running | 152
470 | 471 | RQ2890 | WQSY Running | 200
471 | 501 | QA3093 | WQSY Running | 254
478 | 568 | TU5605 | ZCDT Running | 255
486 | 531 | MR8758 | WQSY Running | 118
487 | 547 | WE8143 | AMZJ Running | 122
489 | 489 | YM2844 | IDRA Running | 22
492 | 582 | QX1759 | GTYI Running | 435
499 | 511 | KN2716 | IDRA Running | 229
501 | 561 | RQ2890 | WQSY Running | 170
506 | 577 | PE2866 | AMZJ Running | 137
508 | 598 | LQ8202 | ZCDT Running | 184
511 | 511 | YM2844 | HPC Running | 50
517 | 607 | AC8893 | AMZJ Running | 72
522 | 612 | CC3461 | GTYI Running | 86
524 | 637 | RU4935 | AMZJ Running | 18
531 | 591 | QA3093 | WQSY Running | 224
538 | 628 | OV4554 | ZCDT Running | 81
541 | 541 | KN2716 | IDRA Running | 199
547 | 621 | XO2797 | WQSY Running | 106
547 | 655 | LM5481 | AMZJ Running | 237
552 | 642 | TC8445 | GTYI Running | 347
557 | 571 | NV2785 | IDRA Running | 134
561 | 561 | YM2844 | HPC Waiting | 113
561 | 651 | MR8758 | WQSY Running | 88
568 | 658 | KF5759 | ZCDT Running | 22
571 | 601 | KN2716 | IDRA Running | 169
577 | 685 | WE8143 | AMZJ Running | 92
582 | 672 | XW4956 | GTYI Running | 122
591 | 681 | RQ2890 | WQSY Running | 140
598 | 680 | TU5605 | ZCDT Running | 225
599 | 711 | XD8404 | WQSY Running | 13
601 | 631 | NV2785 | IDRA Running | 104
605 | 661 | IB2263 | IDRA Running | 213
607 | 715 | PE2866 | AMZJ Running | 107
612 | 702 | QX1759 | GTYI Running | 405
616 | 691 | QC6923 | IDRA Running | 144
621 | 724 | QA3093 | WQSY Running | 194
628 | 710 | LQ8202 | ZCDT Running | 154
631 | 721 | KN2716 | IDRA Running | 139
634 | 751 | XR7203 | IDRA Running | 415
637 | 745 | AC8893 | AMZJ Running | 42
642 | 775 | ST2100 | AMZJ Running | 426
642 | 732 | CC3461 | GTYI Running | 56
643 | 754 | KJ6396 | WQSY Running | 201
651 | 784 | XO2797 | WQSY Running | 76
655 | 655 | RU4935 | AMZJ Waiting | 405
658 | 740 | OV4554 | ZCDT Running | 51
661 | 781 | NV2785 | IDRA Running | 74
672 | 762 | TC8445 | GTYI Running | 317
673 | 811 | LL1257 | IDRA Running | 235
674 | 674 | YM2844 | HPC Running | 144
680 | 680 | KF5759 | GQQ Running | 431
681 | 814 | MR8758 | WQSY Running | 58
685 | 805 | LM5481 | AMZJ Running | 207
691 | 841 | IB2263 | IDRA Running | 183
702 | 792 | XW4956 | GTYI Running | 92
710 | 770 | TU5605 | ZCDT Running | 195
711 | 844 | RQ2890 | WQSY Running | 110
715 | 835 | WE8143 | AMZJ Running | 62
721 | 871 | QC6923 | IDRA Running | 114
724 | 724 | XD8404 | DKB Running | 31
732 | 822 | QX1759 | GTYI Running | 375
740 | 800 | LQ8202 | ZCDT Running | 124
745 | 865 | PE2866 | AMZJ Running | 77
751 | 901 | KN2716 | IDRA Running | 109
754 | 874 | QA3093 | WQSY Running | 164
755 | 755 | XD8404 | DKB Waiting | 220
762 | 852 | CC3461 | GTYI Running | 26
770 | 830 | OV4554 | ZCDT Running | 21
775 | 895 | AC8893 | AMZJ Running | 12
781 | 931 | XR7203 | IDRA Running | 385
784 | 904 | KJ6396 | WQSY Running | 171
792 | 878 | TC8445 | GTYI Running | 287
800 | 851 | TU5605 | ZCDT Running | 165
805 | 907 | ST2100 | AMZJ Running | 396
811 | 908 | EV8335 | GTYI Running | 268
811 | 961 | NV2785 | IDRA Running | 44
814 | 934 | XO2797 | WQSY Running | 46
818 | 818 | YM2844 | HPC Waiting | 102
819 | 938 | IV3397 | GTYI Running | 175
822 | 968 | XW4956 | GTYI Running | 62
830 | 881 | LQ8202 | ZCDT Running | 94
835 | 937 | LM5481 | AMZJ Running | 177
841 | 991 | LL1257 | IDRA Running | 205
844 | 964 | MR8758 | WQSY Running | 28
851 | 851 | OV4554 | ZCDT Waiting | 124
852 | 998 | QX1759 | GTYI Running | 345
865 | 967 | WE8143 | AMZJ Running | 32
869 | 1028 | NP5950 | GTYI Running | 146
871 | 1021 | IB2263 | IDRA Running | 153
874 | 992 | RQ2890 | WQSY Running | 80
878 | 878 | CC3461 | GTYI Waiting | 414
881 | 911 | TU5605 | ZCDT Running | 135
887 | 941 | NP8141 | ZCDT Running | 435
895 | 997 | PE2866 | AMZJ Running | 47
901 | 1051 | QC6923 | IDRA Running | 84
904 | 1022 | QA3093 | WQSY Running | 134
907 | 907 | AC8893 | AMZJ Waiting | 271
908 | 1058 | TC8445 | GTYI Running | 257
911 | 971 | LQ8202 | ZCDT Running | 64
920 | 920 | YM2844 | HPC Running | 165
931 | 1081 | KN2716 | IDRA Running | 79
933 | 1052 | GC6746 | WQSY Running | 381
934 | 1082 | KJ6396 | WQSY Running | 141
937 | 1027 | ST2100 | AMZJ Running | 366
938 | 1088 | EV8335 | GTYI Running | 238
941 | 1001 | TU5605 | ZCDT Running | 105
961 | 1111 | XR7203 | IDRA Running | 355
964 | 1112 | XO2797 | WQSY Running | 16
967 | 1057 | LM5481 | AMZJ Running | 147
968 | 1118 | IV3397 | GTYI Running | 145
971 | 1031 | NP8141 | ZCDT Running | 405
975 | 1061 | OV4554 | ZCDT Running | 340
975 | 975 | XD8404 | DKB Running | 443
991 | 1141 | NV2785 | IDRA Running | 14
992 | 992 | MR8758 | WQSY Waiting | 316
994 | 1091 | BC3230 | ZCDT Running | 116
997 | 1087 | WE8143 | AMZJ Running | 2
998 | 1148 | XW4956 | GTYI Running | 32
1001 | 1121 | LQ8202 | ZCDT Running | 34
1018 | 1151 | EF4648 | ZCDT Running | 46
1021 | 1155 | LL1257 | IDRA Running | 175
1022 | 1128 | RQ2890 | WQSY Running | 50
1027 | 1089 | PE2866 | AMZJ Running | 17
1028 | 1178 | QX1759 | GTYI Running | 315
1031 | 1181 | TU5605 | ZCDT Running | 75
1039 | 1211 | TT2884 | ZCDT Running | 160
1051 | 1185 | IB2263 | IDRA Running | 123
1052 | 1158 | QA3093 | WQSY Running | 104
1057 | 1106 | ST2100 | AMZJ Running | 336
1058 | 1208 | NP5950 | GTYI Running | 116
1060 | 1136 | RU4935 | AMZJ Running | 149
1061 | 1241 | NP8141 | ZCDT Running | 375
1081 | 1215 | QC6923 | IDRA Running | 54
1082 | 1166 | OI6429 | AMZJ Running | 52
1082 | 1188 | GC6746 | WQSY Running | 351
1085 | 1085 | YM2844 | HPC Waiting | 313
1087 | 1196 | LM5481 | AMZJ Running | 117
1088 | 1238 | TC8445 | GTYI Running | 227
1089 | 1089 | WE8143 | AMZJ Waiting | 290
1091 | 1271 | OV4554 | ZCDT Running | 310
1106 | 1106 | PE2866 | AMZJ Waiting | 433
1111 | 1111 | KF5759 | GQQ Waiting | 397
1111 | 1245 | KN2716 | IDRA Running | 49
1112 | 1218 | KJ6396 | WQSY Running | 111
1118 | 1268 | EV8335 | GTYI Running | 208
1121 | 1301 | BC3230 | ZCDT Running | 86
1128 | 1128 | XO2797 | WQSY Waiting | 445
1129 | 1248 | QS6782 | WQSY Running | 315
1136 | 1226 | ST2100 | AMZJ Running | 306
1141 | 1275 | XR7203 | IDRA Running | 325
1148 | 1298 | IV3397 | GTYI Running | 115
1151 | 1331 | LQ8202 | ZCDT Running | 4
1155 | 1155 | NV2785 | IDRA Waiting | 197
1156 | 1335 | RT9408 | ZCDT Running | 313
1157 | 1328 | MB5716 | GTYI Running | 70
1158 | 1278 | RQ2890 | WQSY Running | 20
1166 | 1256 | RU4935 | AMZJ Running | 119
1172 | 1358 | KF6240 | GTYI Running | 461
1178 | 1286 | AC8893 | AMZJ Running | 165
1178 | 1388 | XW4956 | GTYI Running | 2
1181 | 1365 | EF4648 | ZCDT Running | 16
1185 | 1305 | LL1257 | IDRA Running | 145
1188 | 1298 | QA3093 | WQSY Running | 74
1196 | 1316 | OI6429 | AMZJ Running | 22
1208 | 1390 | QX1759 | GTYI Running | 285
1211 | 1420 | CP8037 | GTYI Running | 393
1211 | 1381 | TU5605 | ZCDT Running | 45
1215 | 1335 | IB2263 | IDRA Running | 93
1218 | 1328 | GC6746 | WQSY Running | 321
1225 | 1411 | US6678 | ZCDT Running | 131
1226 | 1441 | CI6823 | ZCDT Running | 360
1226 | 1338 | LM5481 | AMZJ Running | 87
1228 | 1358 | RQ6933 | WQSY Running | 234
1238 | 1450 | NP5950 | GTYI Running | 86
1241 | 1471 | TT2884 | ZCDT Running | 130
1245 | 1365 | QC6923 | IDRA Running | 24
1247 | 1501 | CX2610 | ZCDT Running | 270
1248 | 1388 | KJ6396 | WQSY Running | 81
1256 | 1368 | ST2100 | AMZJ Running | 276
1268 | 1480 | TC8445 | GTYI Running | 197
1271 | 1531 | NP8141 | ZCDT Running | 345
1275 | 1389 | KN2716 | IDRA Running | 19
1278 | 1418 | QS6782 | WQSY Running | 285
1284 | 1398 | WC1548 | AMZJ Running | 422
1286 | 1428 | RU4935 | AMZJ Running | 89
1292 | 1510 | CC3461 | GTYI Running | 258
1298 | 1298 | RQ2890 | WQSY Waiting | 360
1298 | 1540 | EV8335 | GTYI Running | 178
1301 | 1561 | OV4554 | ZCDT Running | 280
1305 | 1408 | XR7203 | IDRA Running | 295
1308 | 1448 | MR8758 | WQSY Running | 85
1316 | 1458 | AC8893 | AMZJ Running | 135
1328 | 1570 | IV3397 | GTYI Running | 85
1328 | 1478 | QA3093 | WQSY Running | 44
1331 | 1591 | BC3230 | ZCDT Running | 56
1335 | 1335 | LQ8202 | ZCDT Waiting | 1
1335 | 1438 | LL1257 | IDRA Running | 115
1336 | 1621 | LQ8202 | ZCDT Running | 471
1338 | 1338 | OI6429 | AMZJ Waiting | 86
1347 | 1651 | IE1120 | ZCDT Running | 221
1352 | 1468 | NV2785 | IDRA Running | 19
1358 | 1508 | GC6746 | WQSY Running | 291
1358 | 1600 | MB5716 | GTYI Running | 40
1365 | 1487 | IB2263 | IDRA Running | 63
1365 | 1681 | RT9408 | ZCDT Running | 283
1368 | 1488 | LM5481 | AMZJ Running | 57
1379 | 1518 | WE8143 | AMZJ Running | 246
1381 | 1381 | EF4648 | ZCDT Waiting | 350
1388 | 1630 | KF6240 | GTYI Running | 431
1388 | 1538 | RQ6933 | WQSY Running | 204
1389 | 1389 | QC6923 | IDRA Waiting | 24
1390 | 1390 | XW4956 | GTYI Waiting | 152
1398 | 1398 | YM2844 | HPC Running | 452
1398 | 1548 | ST2100 | AMZJ Running | 246
1408 | 1408 | KN2716 | NCJ Running | 406
1411 | 1711 | TU5605 | ZCDT Running | 15
1413 | 1517 | QC6923 | IDRA Running | 321
1418 | 1418 | XD8404 | DKB Waiting | 169
1418 | 1568 | KJ6396 | WQSY Running | 51
1420 | 1660 | QX1759 | GTYI Running | 255
1424 | 1578 | OI6429 | AMZJ Running | 179
1428 | 1608 | WC1548 | AMZJ Running | 392
1438 | 1547 | XR7203 | IDRA Running | 265
1441 | 1726 | US6678 | ZCDT Running | 101
1448 | 1598 | QS6782 | WQSY Running | 255
1450 | 1690 | CP8037 | GTYI Running | 363
1457 | 1638 | EU3767 | AMZJ Running | 32
1458 | 1668 | RU4935 | AMZJ Running | 59
1468 | 1577 | LL1257 | IDRA Running | 85
1471 | 1756 | CI6823 | ZCDT Running | 330
1478 | 1628 | MR8758 | WQSY Running | 55
1480 | 1720 | NP5950 | GTYI Running | 56
1487 | 1487 | NV2785 | ZXD Running | 78
1488 | 1698 | AC8893 | AMZJ Running | 105
1501 | 1786 | TT2884 | ZCDT Running | 100
1508 | 1508 | KF5759 | GQQ Running | 421
1508 | 1658 | QA3093 | WQSY Running | 14
1510 | 1750 | TC8445 | GTYI Running | 167
1517 | 1607 | IB2263 | IDRA Running | 33
1518 | 1728 | LM5481 | AMZJ Running | 27
1531 | 1816 | CX2610 | ZCDT Running | 240
1538 | 1672 | GC6746 | WQSY Running | 261
1539 | 1755 | PE2866 | AMZJ Running | 409
1540 | 1780 | CC3461 | GTYI Running | 228
1542 | 1810 | XW4956 | GTYI Running | 302
1547 | 1637 | QC6923 | IDRA Running | 291
1548 | 1667 | MK1284 | IDRA Running | 261
1548 | 1785 | WE8143 | AMZJ Running | 216
1561 | 1846 | NP8141 | ZCDT Running | 315
1562 | 1815 | YA5160 | AMZJ Running | 464
1565 | 1565 | NV2785 | ZXD Waiting | 393
1568 | 1702 | RQ6933 | WQSY Running | 174
1570 | 1840 | EV8335 | GTYI Running | 148
1573 | 1732 | XO2797 | WQSY Running | 121
1577 | 1697 | XR7203 | IDRA Running | 235
1578 | 1845 | ST2100 | AMZJ Running | 216
1587 | 1587 | XD8404 | DKB Running | 233
1591 | 1876 | OV4554 | ZCDT Running | 250
1594 | 1727 | MQ7520 | IDRA Running | 456
1598 | 1762 | KJ6396 | WQSY Running | 21
1600 | 1870 | IV3397 | GTYI Running | 55
1607 | 1757 | LL1257 | IDRA Running | 55
1608 | 1875 | OI6429 | AMZJ Running | 149
1621 | 1906 | BC3230 | ZCDT Running | 26
1628 | 1783 | QS6782 | WQSY Running | 225
1630 | 1900 | MB5716 | GTYI Running | 10
1637 | 1787 | IB2263 | IDRA Running | 3
1638 | 1905 | WC1548 | AMZJ Running | 362
1651 | 1932 | LQ8202 | ZCDT Running | 441
1658 | 1813 | RQ2890 | WQSY Running | 397
1658 | 1843 | MR8758 | WQSY Running | 25
1660 | 1910 | KF6240 | GTYI Running | 401
1667 | 1790 | QC6923 | IDRA Running | 261
1668 | 1935 | EU3767 | AMZJ Running | 2
1672 | 1672 | QA3093 | WQSY Waiting | 321
1681 | 1962 | IE1120 | ZCDT Running | 191
1690 | 1940 | QX1759 | GTYI Running | 225
1691 | 1992 | FT3081 | ZCDT Running | 171
1697 | 1820 | MK1284 | IDRA Running | 231
1698 | 1937 | RU4935 | AMZJ Running | 29
1702 | 1868 | GC6746 | WQSY Running | 231
1711 | 2022 | RT9408 | ZCDT Running | 253
1720 | 1970 | CP8037 | GTYI Running | 333
1726 | 1726 | TU5605 | ZCDT Waiting | 246
1727 | 1850 | XR7203 | IDRA Running | 205
1728 | 1966 | AC8893 | AMZJ Running | 75
1731 | 2052 | EF4648 | ZCDT Running | 257
1732 | 1898 | RQ6933 | WQSY Running | 144
1742 | 1996 | AG1168 | AMZJ Running | 328
1744 | 2026 | DW9737 | AMZJ Running | 420
1750 | 2000 | NP5950 | GTYI Running | 26
1755 | 1755 | LM5481 | AMZJ Waiting | 165
1756 | 2082 | US6678 | ZCDT Running | 71
1757 | 1880 | MQ7520 | IDRA Running | 426
1762 | 1928 | XO2797 | WQSY Running | 91
1780 | 2026 | TC8445 | GTYI Running | 137
1783 | 1783 | KJ6396 | WQSY Waiting | 429
1785 | 2056 | PE2866 | AMZJ Running | 379
1786 | 2112 | CI6823 | ZCDT Running | 300
1787 | 1910 | LL1257 | IDRA Running | 25
1790 | 1790 | IB2263 | IDRA Waiting | 229
1810 | 2056 | CC3461 | GTYI Running | 198
1813 | 1958 | QS6782 | WQSY Running | 195
1814 | 1814 | KN2716 | NCJ Waiting | 38
1815 | 2086 | WE8143 | AMZJ Running | 186
1816 | 2142 | TT2884 | ZCDT Running | 70
1820 | 1820 | XD8404 | DKB Waiting | 468
1820 | 1935 | QC6923 | IDRA Running | 231
1840 | 2086 | XW4956 | GTYI Running | 272
1843 | 1988 | RQ2890 | WQSY Running | 367
1845 | 2116 | YA5160 | AMZJ Running | 434
1846 | 2172 | CX2610 | ZCDT Running | 210
1850 | 1965 | YM2844 | IDRA Running | 113
1850 | 1995 | MK1284 | IDRA Running | 201
1852 | 1852 | KN2716 | NCJ Running | 332
1868 | 1868 | MR8758 | CDO Running | 286
1870 | 2116 | EV8335 | GTYI Running | 118
1875 | 2146 | ST2100 | AMZJ Running | 186
1876 | 2202 | NP8141 | ZCDT Running | 285
1880 | 2025 | XR7203 | IDRA Running | 175
1892 | 2055 | KS4285 | IDRA Running | 484
1898 | 2018 | GC6746 | WQSY Running | 201
1900 | 2146 | IV3397 | GTYI Running | 25
1905 | 2176 | OI6429 | AMZJ Running | 119
1906 | 2232 | OV4554 | ZCDT Running | 220
1910 | 1910 | MB5716 | GTYI Waiting | 144
1910 | 2085 | MQ7520 | IDRA Running | 396
1920 | 2206 | LM5481 | AMZJ Running | 393
1928 | 2048 | RQ6933 | WQSY Running | 114
1929 | 1929 | KF5759 | GQQ Waiting | 355
1931 | 2236 | YZ9316 | AMZJ Running | 380
1932 | 1932 | BC3230 | ZCDT Waiting | 496
1933 | 2266 | PR8175 | AMZJ Running | 19
1935 | 1935 | LL1257 | IDRA Waiting | 472
1935 | 2285 | WC1548 | AMZJ Running | 332
1937 | 1937 | EU3767 | AMZJ Waiting | 166
1940 | 2171 | KF6240 | GTYI Running | 371
1944 | 2201 | VS5201 | GTYI Running | 332
1958 | 1958 | NV2785 | ZXD Running | 336
1958 | 2078 | XO2797 | WQSY Running | 61
1962 | 2262 | LQ8202 | ZCDT Running | 411
1964 | 2108 | CQ3852 | WQSY Running | 69
1965 | 2115 | QC6923 | IDRA Running | 201
1966 | 1966 | RU4935 | WSY Running | 99
1967 | 2145 | YB2742 | IDRA Running | 162
1970 | 2175 | YM5038 | IDRA Running | 95
1970 | 2231 | QX1759 | GTYI Running | 195
1972 | 2292 | TU5605 | ZCDT Running | 410
1988 | 2138 | QS6782 | WQSY Running | 165
1992 | 2322 | IE1120 | ZCDT Running | 161
1993 | 2168 | QA3093 | WQSY Running | 96
1995 | 2315 | QF4765 | AMZJ Running | 101
1995 | 2205 | YM2844 | IDRA Running | 83
1996 | 2345 | AC8893 | AMZJ Running | 45
2000 | 2261 | GT8205 | GTYI Running | 27
2000 | 2288 | CP8037 | GTYI Running | 303
2005 | 2318 | AE7262 | GTYI Running | 310
2011 | 2235 | EK5998 | IDRA Running | 109
2018 | 2198 | RQ2890 | WQSY Running | 337
2019 | 2265 | IB2263 | IDRA Running | 452
2022 | 2352 | FT3081 | ZCDT Running | 141
2025 | 2295 | MK1284 | IDRA Running | 171
2026 | 2026 | NP5950 | GTYI Waiting | 233
2026 | 2375 | AG1168 | AMZJ Running | 298
2028 | 2228 | NL5756 | WQSY Running | 498
2043 | 2325 | UA2932 | IDRA Running | 269
2048 | 2258 | GC6746 | WQSY Running | 171
2052 | 2382 | RT9408 | ZCDT Running | 223
2054 | 2348 | MB5716 | GTYI Running | 24
2055 | 2355 | XR7203 | IDRA Running | 145
2056 | 2405 | DW9737 | AMZJ Running | 390
2056 | 2372 | TC8445 | GTYI Running | 107
2065 | 2065 | RU4935 | WSY Waiting | 451
2066 | 2288 | PA5529 | WQSY Running | 277
2078 | 2385 | YV1743 | IDRA Running | 391
2078 | 2318 | RQ6933 | WQSY Running | 84
2082 | 2412 | EF4648 | ZCDT Running | 227
2085 | 2415 | KS4285 | IDRA Running | 454
2086 | 2402 | CC3461 | GTYI Running | 168
2086 | 2435 | PE2866 | AMZJ Running | 349
2099 | 2445 | VM8791 | IDRA Running | 444
2103 | 2465 | EU3767 | AMZJ Running | 214
2108 | 2348 | XO2797 | WQSY Running | 31
2112 | 2442 | US6678 | ZCDT Running | 41
2113 | 2378 | JQ6883 | WQSY Running | 163
2115 | 2475 | MQ7520 | IDRA Running | 366
2116 | 2495 | WE8143 | AMZJ Running | 156
2116 | 2432 | XW4956 | GTYI Running | 242
2126 | 2505 | FX4951 | IDRA Running | 89
2138 | 2408 | CQ3852 | WQSY Running | 39
2142 | 2472 | CI6823 | ZCDT Running | 270
2145 | 2535 | QC6923 | IDRA Running | 171
2146 | 2462 | EV8335 | GTYI Running | 88
2146 | 2525 | YA5160 | AMZJ Running | 404
2154 | 2154 | MR8758 | CDO Waiting | 16
2156 | 2438 | NZ5800 | WQSY Running | 494
2160 | 2468 | MB8755 | WQSY Running | 140
2168 | 2498 | QS6782 | WQSY Running | 135
2170 | 2170 | MR8758 | CDO Running | 390
2171 | 2171 | IV3397 | GTYI Waiting | 91
2172 | 2502 | TT2884 | ZCDT Running | 40
2175 | 2565 | YB2742 | IDRA Running | 132
2176 | 2555 | ST2100 | AMZJ Running | 156
2184 | 2184 | KN2716 | NCJ Waiting | 11
2195 | 2195 | KN2716 | NCJ Running | 403
2198 | 2528 | QA3093 | WQSY Running | 66
2201 | 2492 | KF6240 | GTYI Running | 341
2202 | 2532 | CX2610 | ZCDT Running | 180
2205 | 2595 | YM5038 | IDRA Running | 65
2206 | 2585 | OI6429 | AMZJ Running | 89
2212 | 2558 | KJ6396 | WQSY Running | 166
2223 | 2588 | TE9208 | WQSY Running | 198
2228 | 2618 | RQ2890 | WQSY Running | 307
2231 | 2522 | VS5201 | GTYI Running | 302
2232 | 2562 | NP8141 | ZCDT Running | 255
2235 | 2625 | YM2844 | IDRA Running | 53
2236 | 2615 | LM5481 | AMZJ Running | 363
2255 | 2592 | TX7007 | ZCDT Running | 97
2258 | 2648 | NL5756 | WQSY Running | 468
2259 | 2552 | NP5950 | GTYI Running | 248
2261 | 2582 | QX1759 | GTYI Running | 165
2262 | 2612 | IV3397 | GTYI Running | 335
2262 | 2622 | OV4554 | ZCDT Running | 190
2265 | 2655 | EK5998 | IDRA Running | 79
2266 | 2645 | YZ9316 | AMZJ Running | 350
2284 | 2284 | KF5759 | GQQ Running | 399
2285 | 2285 | PR8175 | AMZJ Waiting | 257
2288 | 2288 | GT8205 | GTYI Waiting | 22
2288 | 2288 | XD8404 | DKB Running | 365
2288 | 2678 | GC6746 | WQSY Running | 141
2292 | 2652 | LQ8202 | ZCDT Running | 381
2294 | 2294 | NV2785 | ZXD Waiting | 375
2295 | 2685 | IB2263 | IDRA Running | 422
2310 | 2642 | GT8205 | GTYI Running | 314
2315 | 2675 | WC1548 | AMZJ Running | 302
2318 | 2672 | CP8037 | GTYI Running | 273
2318 | 2708 | PA5529 | WQSY Running | 247
2322 | 2682 | TU5605 | ZCDT Running | 380
2325 | 2715 | MK1284 | IDRA Running | 141
2333 | 2712 | WY7322 | ZCDT Running | 361
2345 | 2705 | QF4765 | AMZJ Running | 71
2348 | 2735 | XN5521 | AMZJ Running | 207
2348 | 2702 | AE7262 | GTYI Running | 280
2348 | 2738 | RQ6933 | WQSY Running | 54
2352 | 2742 | IE1120 | ZCDT Running | 131
2355 | 2745 | UA2932 | IDRA Running | 239
2372 | 2372 | MB5716 | XTT Running | 329
2375 | 2765 | AC8893 | AMZJ Running | 15
2378 | 2768 | XO2797 | WQSY Running | 1
2382 | 2772 | FT3081 | ZCDT Running | 111
2385 | 2775 | XR7203 | IDRA Running | 115
2402 | 2732 | TC8445 | GTYI Running | 77
2405 | 2762 | VK1891 | GTYI Running | 315
2405 | 2780 | AG1168 | AMZJ Running | 268
2407 | 2805 | LL1257 | IDRA Running | 497
2408 | 2769 | JQ6883 | WQSY Running | 133
2411 | 2799 | QE4666 | WQSY Running | 112
2412 | 2802 | RT9408 | ZCDT Running | 193
2415 | 2835 | YV1743 | IDRA Running | 361
2428 | 2832 | BC3230 | ZCDT Running | 160
2432 | 2792 | CC3461 | GTYI Running | 138
2435 | 2810 | DW9737 | AMZJ Running | 360
2438 | 2829 | CQ3852 | WQSY Running | 9
2442 | 2862 | EF4648 | ZCDT Running | 197
2445 | 2865 | KS4285 | IDRA Running | 424
2462 | 2822 | XW4956 | GTYI Running | 212
2465 | 2840 | PE2866 | AMZJ Running | 319
2468 | 2838 | NZ5800 | WQSY Running | 464
2472 | 2892 | US6678 | ZCDT Running | 11
2475 | 2895 | VM8791 | IDRA Running | 414
2492 | 2852 | EV8335 | GTYI Running | 58
2495 | 2870 | EU3767 | AMZJ Running | 184
2498 | 2868 | MB8755 | WQSY Running | 110
2502 | 2903 | CI6823 | ZCDT Running | 240
2505 | 2925 | MQ7520 | IDRA Running | 336
2516 | 2516 | RU4935 | WSY Running | 47
2522 | 2882 | KF6240 | GTYI Running | 311
2525 | 2900 | WE8143 | AMZJ Running | 126
2528 | 2898 | QS6782 | WQSY Running | 105
2532 | 2933 | TT2884 | ZCDT Running | 10
