8 | 8 | WU4911 | AEYX Running | 275
876 | 936 | TK6987 | SKHG Running | 275
877 | 1066 | FP4980 | HENQ Running | 192
881 | 924 | WT5213 | OTHL Running | 309
886 | 1096 | BI8641 | HENQ Running | 163
886 | 916 | LZ2505 | GGFI Running | 410
894 | 954 | MB3250 | OTHL Running | 26
896 | 966 | IY5923 | SKHG Running | 242
897 | 1077 | RY3235 | AEYX Running | 392
906 | 996 | AJ8361 | SKHG Running | 259
909 | 1026 | XS5253 | SKHG Running | 139
914 | 946 | BT1022 | GGFI Running | 227
916 | 1126 | KF5674 | HENQ Running | 63
916 | 976 | SG7555 | GGFI Running | 11
924 | 980 | GI2602 | OTHL Running | 204
927 | 1107 | JK5854 | AEYX Running | 87
936 | 1056 | FY2231 | SKHG Running | 64
946 | 987 | LZ2505 | GGFI Running | 380
946 | 1156 | XT7284 | HENQ Running | 258
954 | 1010 | WT5213 | OTHL Running | 279
957 | 1137 | WU4911 | AEYX Running | 102
966 | 1086 | TK6987 | SKHG Running | 245
976 | 1017 | BT1022 | GGFI Running | 197
976 | 1186 | YL8763 | HENQ Running | 209
980 | 980 | MB3250 | OTHL Waiting | 476
987 | 1047 | RO2320 | GGFI Running | 349
987 | 987 | SG7555 | GGFI Waiting | 196
987 | 1167 | OB2611 | AEYX Running | 76
996 | 1116 | IY5923 | SKHG Running | 212
1006 | 1216 | JB1993 | HENQ Running | 284
1010 | 1040 | GI2602 | OTHL Running | 174
1017 | 1197 | BK7385 | AEYX Running | 424
1017 | 1077 | LZ2505 | GGFI Running | 350
1026 | 1146 | AJ8361 | SKHG Running | 229
1036 | 1246 | KI1087 | HENQ Running | 228
1040 | 1070 | WT5213 | OTHL Running | 249
1047 | 1107 | BT1022 | GGFI Running | 167
1047 | 1227 | MA7428 | AEYX Running | 235
1056 | 1176 | XS5253 | SKHG Running | 109
1066 | 1276 | OP8529 | HENQ Running | 286
1070 | 1100 | GI2602 | OTHL Running | 144
1077 | 1257 | HF7943 | AEYX Running | 154
1077 | 1137 | RO2320 | GGFI Running | 319
1084 | 1306 | VU8899 | HENQ Running | 449
1086 | 1206 | FY2231 | SKHG Running | 34
1096 | 1336 | FP4980 | HENQ Running | 162
1100 | 1130 | WT5213 | OTHL Running | 219
1107 | 1167 | LZ2505 | GGFI Running | 320
1107 | 1287 | RY3235 | AEYX Running | 362
1111 | 1160 | NG2840 | OTHL Running | 132
1113 | 1190 | PH3168 | OTHL Running | 475
1116 | 1236 | TK6987 | SKHG Running | 215
1126 | 1126 | RP1389 | BUR Running | 322
1126 | 1366 | BI8641 | HENQ Running | 133
1130 | 1220 | GI2602 | OTHL Running | 114
1137 | 1197 | BT1022 | GGFI Running | 137
1137 | 1317 | JK5854 | AEYX Running | 57
1140 | 1347 | OT8008 | AEYX Running | 426
1146 | 1266 | IY5923 | SKHG Running | 182
1156 | 1396 | KF5674 | HENQ Running | 33
1160 | 1250 | WT5213 | OTHL Running | 189
1167 | 1227 | RO2320 | GGFI Running | 289
1167 | 1377 | WU4911 | AEYX Running | 72
1176 | 1296 | AJ8361 | SKHG Running | 199
1183 | 1257 | SG7555 | GGFI Running | 134
1186 | 1426 | XT7284 | HENQ Running | 228
1190 | 1280 | NG2840 | OTHL Running | 102
1191 | 1326 | LT8080 | SKHG Running | 339
1193 | 1310 | CD4515 | OTHL Running | 239
1197 | 1287 | LZ2505 | GGFI Running | 290
1197 | 1407 | OB2611 | AEYX Running | 46
1204 | 1340 | KG1408 | OTHL Running | 399
1205 | 1456 | HT2553 | HENQ Running | 166
1206 | 1356 | XS5253 | SKHG Running | 79
1216 | 1486 | YL8763 | HENQ Running | 179
1220 | 1370 | PH3168 | OTHL Running | 445
1226 | 1400 | JU4028 | OTHL Running | 138
1227 | 1437 | BK7385 | AEYX Running | 394
1227 | 1317 | BT1022 | GGFI Running | 107
1236 | 1386 | FY2231 | SKHG Running | 4
1246 | 1516 | JB1993 | HENQ Running | 254
1248 | 1390 | SO7413 | SKHG Running | 210
1250 | 1430 | GI2602 | OTHL Running | 84
1257 | 1467 | MA7428 | AEYX Running | 205
1257 | 1347 | RO2320 | GGFI Running | 259
1266 | 1420 | TK6987 | SKHG Running | 185
1276 | 1460 | HO6322 | OTHL Running | 124
1276 | 1546 | KI1087 | HENQ Running | 198
1280 | 1490 | WT5213 | OTHL Running | 159
1287 | 1497 | HF7943 | AEYX Running | 124
1287 | 1377 | SG7555 | GGFI Running | 104
1296 | 1450 | IY5923 | SKHG Running | 152
1302 | 1520 | HS5200 | OTHL Running | 320
1304 | 1480 | BE5343 | SKHG Running | 185
1306 | 1576 | OP8529 | HENQ Running | 256
1310 | 1550 | NG2840 | OTHL Running | 72
1317 | 1407 | LZ2505 | GGFI Running | 260
1317 | 1527 | RY3235 | AEYX Running | 332
1326 | 1557 | FU4748 | AEYX Running | 457
1326 | 1510 | AJ8361 | SKHG Running | 169
1327 | 1437 | BH6999 | GGFI Running | 479
1327 | 1587 | XZ1011 | AEYX Running | 78
1334 | 1540 | HH5026 | SKHG Running | 85
1336 | 1606 | VU8899 | HENQ Running | 419
1340 | 1580 | CD4515 | OTHL Running | 209
1347 | 1467 | BT1022 | GGFI Running | 77
1347 | 1617 | JK5854 | AEYX Running | 27
1356 | 1570 | LT8080 | SKHG Running | 309
1366 | 1636 | FP4980 | HENQ Running | 132
1370 | 1610 | KG1408 | OTHL Running | 369
1372 | 1600 | RF5128 | SKHG Running | 6
1377 | 1644 | OT8008 | AEYX Running | 396
1377 | 1497 | RO2320 | GGFI Running | 229
1386 | 1606 | XS5253 | SKHG Running | 49
1390 | 1390 | FY2231 | MDY Running | 30
1396 | 1666 | BI8641 | HENQ Running | 103
1400 | 1640 | PH3168 | OTHL Running | 415
1407 | 1527 | SG7555 | GGFI Running | 74
1407 | 1674 | WU4911 | AEYX Running | 42
1410 | 1696 | WO4259 | HENQ Running | 15
1420 | 1420 | FY2231 | MDY Waiting | 45
1420 | 1636 | SO7413 | SKHG Running | 180
1424 | 1711 | DO3649 | HENQ Running | 359
1426 | 1741 | KF5674 | HENQ Running | 3
1430 | 1670 | JU4028 | OTHL Running | 108
1437 | 1557 | LZ2505 | GGFI Running | 230
1437 | 1704 | OB2611 | AEYX Running | 16
1448 | 1448 | RP1389 | BUR Waiting | 373
1450 | 1666 | TK6987 | SKHG Running | 155
1456 | 1700 | MB3250 | OTHL Running | 253
1456 | 1744 | XT7284 | HENQ Running | 198
1460 | 1730 | GI2602 | OTHL Running | 54
1465 | 1465 | FY2231 | MDY Running | 120
1467 | 1587 | BH6999 | GGFI Running | 449
1467 | 1720 | BK7385 | AEYX Running | 364
1480 | 1696 | IY5923 | SKHG Running | 122
1484 | 1760 | UH2381 | OTHL Running | 252
1486 | 1774 | HT2553 | HENQ Running | 136
1490 | 1790 | HO6322 | OTHL Running | 94
1494 | 1820 | GN2723 | OTHL Running | 293
1497 | 1617 | BT1022 | GGFI Running | 47
1497 | 1750 | MA7428 | AEYX Running | 175
1510 | 1726 | BE5343 | SKHG Running | 155
1516 | 1804 | YL8763 | HENQ Running | 149
1520 | 1850 | WT5213 | OTHL Running | 129
1527 | 1780 | HF7943 | AEYX Running | 94
1527 | 1647 | RO2320 | GGFI Running | 199
1530 | 1880 | JN8912 | OTHL Running | 182
1537 | 1810 | YL5980 | AEYX Running | 48
1540 | 1756 | AJ8361 | SKHG Running | 139
1546 | 1834 | JB1993 | HENQ Running | 224
1550 | 1910 | HS5200 | OTHL Running | 290
1557 | 1840 | RY3235 | AEYX Running | 302
1557 | 1677 | SG7555 | GGFI Running | 44
1567 | 1864 | EY9982 | HENQ Running | 114
1570 | 1786 | HH5026 | SKHG Running | 55
1576 | 1894 | KI1087 | HENQ Running | 168
1580 | 1940 | NG2840 | OTHL Running | 42
1585 | 1585 | FY2231 | MDY Waiting | 416
1587 | 1870 | FU4748 | AEYX Running | 427
1587 | 1707 | LZ2505 | GGFI Running | 200
1600 | 1816 | LT8080 | SKHG Running | 279
1606 | 1606 | RF5128 | SKHG Waiting | 261
1606 | 1924 | OP8529 | HENQ Running | 226
1610 | 1970 | CD4515 | OTHL Running | 179
1617 | 1737 | BH6999 | GGFI Running | 419
1617 | 1900 | XZ1011 | AEYX Running | 48
1635 | 1846 | XP1862 | SKHG Running | 453
1636 | 1954 | VU8899 | HENQ Running | 389
1636 | 1876 | XS5253 | SKHG Running | 19
1640 | 2000 | KG1408 | OTHL Running | 339
1644 | 1644 | JK5854 | AEYX Waiting | 156
1647 | 1767 | BT1022 | GGFI Running | 17
1666 | 1984 | FP4980 | HENQ Running | 102
1666 | 1895 | SO7413 | SKHG Running | 150
1670 | 2030 | PH3168 | OTHL Running | 385
1674 | 1930 | OT8008 | AEYX Running | 366
1677 | 1784 | RO2320 | GGFI Running | 169
1696 | 2014 | BI8641 | HENQ Running | 73
1696 | 1925 | TK6987 | SKHG Running | 125
1700 | 2060 | JU4028 | OTHL Running | 78
1704 | 2044 | KU1575 | HENQ Running | 488
1704 | 1960 | WU4911 | AEYX Running | 12
1706 | 1972 | AJ8561 | AEYX Running | 298
1707 | 1814 | SG7555 | GGFI Running | 14
1711 | 1711 | WO4259 | HENQ Waiting | 89
1720 | 1720 | OB2611 | AEYX Waiting | 358
1726 | 1955 | IY5923 | SKHG Running | 92
1730 | 2090 | MB3250 | OTHL Running | 223
1736 | 2002 | GB7708 | AEYX Running | 433
1737 | 1828 | LZ2505 | GGFI Running | 170
1740 | 1985 | KJ5751 | SKHG Running | 121
1741 | 2074 | DO3649 | HENQ Running | 329
1744 | 1744 | KF5674 | HENQ Waiting | 463
1750 | 2032 | BK7385 | AEYX Running | 334
1756 | 2015 | BE5343 | SKHG Running | 125
1760 | 2120 | GI2602 | OTHL Running | 24
1767 | 1858 | BH6999 | GGFI Running | 389
1774 | 2104 | XT7284 | HENQ Running | 168
1780 | 2062 | MA7428 | AEYX Running | 145
1784 | 1784 | BT1022 | JMR Running | 309
1786 | 2045 | AJ8361 | SKHG Running | 109
1790 | 2144 | UH2381 | OTHL Running | 222
1800 | 2092 | JK5854 | AEYX Running | 216
1800 | 2134 | WO4259 | HENQ Running | 19
1801 | 2153 | JB8568 | HENQ Running | 218
1804 | 2183 | HT2553 | HENQ Running | 106
1810 | 2122 | HF7943 | AEYX Running | 64
1814 | 1888 | RO2320 | GGFI Running | 139
1816 | 2075 | HH5026 | SKHG Running | 25
1820 | 2174 | HO6322 | OTHL Running | 64
1821 | 1821 | RP1389 | BUR Running | 455
1828 | 1828 | SG7555 | KSJ Running | 467
1834 | 2213 | YL8763 | HENQ Running | 119
1840 | 2152 | YL5980 | AEYX Running | 18
1846 | 2100 | LT8080 | SKHG Running | 249
1850 | 2130 | CE1485 | SKHG Running | 70
1850 | 2204 | GN2723 | OTHL Running | 263
1852 | 2170 | WD2150 | AEYX Running | 398
1858 | 1918 | LZ2505 | GGFI Running | 140
1864 | 2243 | JB1993 | HENQ Running | 194
1867 | 2160 | RF5128 | SKHG Running | 382
1870 | 2200 | RY3235 | AEYX Running | 272
1871 | 2190 | NL3630 | SKHG Running | 57
1876 | 2220 | XP1862 | SKHG Running | 423
1880 | 2234 | WT5213 | OTHL Running | 99
1885 | 2230 | NI1688 | AEYX Running | 195
1888 | 1948 | BH6999 | GGFI Running | 359
1894 | 2273 | EY9982 | HENQ Running | 84
1895 | 1895 | XS5253 | SKHG Waiting | 370
1900 | 2260 | FU4748 | AEYX Running | 397
1910 | 2264 | JN8912 | OTHL Running | 152
1918 | 1978 | RO2320 | GGFI Running | 109
1924 | 2303 | KI1087 | HENQ Running | 138
1925 | 2250 | SO7413 | SKHG Running | 120
1930 | 2290 | XZ1011 | AEYX Running | 18
1940 | 2294 | HS5200 | OTHL Running | 260
1948 | 2008 | LZ2505 | GGFI Running | 110
1954 | 2333 | OP8529 | HENQ Running | 196
1955 | 2280 | TK6987 | SKHG Running | 95
1960 | 2308 | OT8008 | AEYX Running | 336
1970 | 2324 | NG2840 | OTHL Running | 12
1972 | 1972 | WU4911 | LER Running | 173
1973 | 2363 | UC3636 | HENQ Running | 227
1978 | 2038 | BH6999 | GGFI Running | 329
1984 | 2393 | VU8899 | HENQ Running | 359
1985 | 2310 | IY5923 | SKHG Running | 62
1994 | 2340 | RA6977 | SKHG Running | 29
1998 | 2423 | YS3084 | HENQ Running | 346
2000 | 2336 | CD4515 | OTHL Running | 149
2001 | 2001 | FY2231 | MDY Running | 107
2002 | 2338 | AJ8561 | AEYX Running | 268
2008 | 2068 | RO2320 | GGFI Running | 79
2013 | 2368 | PZ3265 | AEYX Running | 295
2014 | 2453 | FP4980 | HENQ Running | 72
2015 | 2369 | KJ5751 | SKHG Running | 91
2030 | 2366 | KG1408 | OTHL Running | 309
2032 | 2398 | GB7708 | AEYX Running | 403
2038 | 2098 | LZ2505 | GGFI Running | 80
2041 | 2483 | YB4870 | HENQ Running | 64
2044 | 2513 | BI8641 | HENQ Running | 43
2045 | 2399 | BE5343 | SKHG Running | 95
2048 | 2396 | SI5870 | OTHL Running | 51
2060 | 2426 | PH3168 | OTHL Running | 355
2062 | 2428 | BK7385 | AEYX Running | 304
2065 | 2456 | RS1536 | OTHL Running | 104
2068 | 2128 | BH6999 | GGFI Running | 299
2074 | 2543 | KU1575 | HENQ Running | 458
2075 | 2429 | AJ8361 | SKHG Running | 79
2078 | 2458 | OB2611 | AEYX Running | 321
2080 | 2158 | RT3693 | GGFI Running | 485
2090 | 2486 | JU4028 | OTHL Running | 48
2092 | 2488 | MA7428 | AEYX Running | 115
2093 | 2093 | BT1022 | JMR Waiting | 109
2094 | 2459 | SN6660 | SKHG Running | 255
2098 | 2188 | RO2320 | GGFI Running | 49
2100 | 2100 | HH5026 | SKHG Waiting | 325
2104 | 2573 | DO3649 | HENQ Running | 299
2108 | 2108 | FY2231 | MDY Waiting | 329
2109 | 2518 | HB1600 | AEYX Running | 436
2120 | 2516 | MB3250 | OTHL Running | 193
2122 | 2548 | JK5854 | AEYX Running | 186
2128 | 2218 | LZ2505 | GGFI Running | 50
2130 | 2489 | LT8080 | SKHG Running | 219
2134 | 2603 | XT7284 | HENQ Running | 138
2144 | 2144 | GI2602 | OTHL Waiting | 292
2145 | 2145 | WU4911 | LER Waiting | 485
2152 | 2578 | HF7943 | AEYX Running | 34
2153 | 2153 | WO4259 | LZY Running | 173
2158 | 2248 | BH6999 | GGFI Running | 269
2160 | 2519 | CE1485 | SKHG Running | 40
2170 | 2170 | YL5980 | AEYX Waiting | 293
2172 | 2608 | IL5709 | AEYX Running | 302
2174 | 2546 | UH2381 | OTHL Running | 192
2183 | 2633 | JB8568 | HENQ Running | 188
2184 | 2576 | NT3542 | OTHL Running | 492
2188 | 2278 | RT3693 | GGFI Running | 455
2190 | 2549 | RF5128 | SKHG Running | 352
2200 | 2638 | WD2150 | AEYX Running | 368
2202 | 2202 | BT1022 | JMR Running | 267
2204 | 2606 | YS2179 | OTHL Running | 413
2204 | 2636 | HO6322 | OTHL Running | 34
2207 | 2663 | KF5674 | HENQ Running | 280
2213 | 2693 | HT2553 | HENQ Running | 76
2218 | 2308 | RO2320 | GGFI Running | 19
2220 | 2579 | NL3630 | SKHG Running | 27
2226 | 2723 | IU6288 | HENQ Running | 206
2230 | 2668 | RY3235 | AEYX Running | 242
2234 | 2666 | GN2723 | OTHL Running | 233
2243 | 2753 | YL8763 | HENQ Running | 89
2248 | 2327 | LZ2505 | GGFI Running | 20
2250 | 2606 | XP1862 | SKHG Running | 393
2260 | 2698 | NI1688 | AEYX Running | 165
2264 | 2696 | WT5213 | OTHL Running | 69
2265 | 2636 | XS5253 | SKHG Running | 272
2273 | 2783 | JB1993 | HENQ Running | 164
2276 | 2276 | RP1389 | BUR Waiting | 295
2278 | 2347 | BH6999 | GGFI Running | 239
2279 | 2666 | PP4630 | SKHG Running | 225
2280 | 2696 | SO7413 | SKHG Running | 90
2282 | 2726 | XX5071 | OTHL Running | 471
2290 | 2728 | FU4748 | AEYX Running | 367
2294 | 2756 | JN8912 | OTHL Running | 122
2295 | 2295 | SG7555 | KSJ Waiting | 220
2303 | 2813 | EY9982 | HENQ Running | 54
2305 | 2758 | WQ4618 | AEYX Running | 29
2308 | 2308 | XZ1011 | AEYX Waiting | 270
2308 | 2377 | RT3693 | GGFI Running | 425
2310 | 2726 | TK6987 | SKHG Running | 65
2314 | 2787 | YS8954 | AEYX Running | 455
2324 | 2786 | HS5200 | OTHL Running | 230
2326 | 2326 | WO4259 | LZY Waiting | 54
2327 | 2327 | RO2320 | GGFI Waiting | 59
2333 | 2843 | KI1087 | HENQ Running | 108
2336 | 2336 | NG2840 | OTHL Waiting | 420
2338 | 2817 | OT8008 | AEYX Running | 306
2340 | 2756 | IY5923 | SKHG Running | 32
2347 | 2347 | LZ2505 | GGFI Waiting | 90
2355 | 2786 | LJ8105 | SKHG Running | 185
2356 | 2407 | XW4568 | GGFI Running | 269
2363 | 2873 | OP8529 | HENQ Running | 166
2366 | 2816 | CD4515 | OTHL Running | 119
2368 | 2847 | AJ8561 | AEYX Running | 238
2369 | 2369 | RA6977 | SKHG Waiting | 65
2377 | 2437 | BH6999 | GGFI Running | 209
2380 | 2380 | WO4259 | LZY Running | 489
2386 | 2467 | RO2320 | GGFI Running | 461
2393 | 2903 | UC3636 | HENQ Running | 197
2396 | 2846 | KG1408 | OTHL Running | 279
2398 | 2877 | PZ3265 | AEYX Running | 265
2399 | 2816 | KJ5751 | SKHG Running | 61
2407 | 2497 | RT3693 | GGFI Running | 395
2419 | 2933 | UJ3926 | HENQ Running | 275
2423 | 2963 | VU8899 | HENQ Running | 329
2425 | 2846 | HH5026 | SKHG Running | 207
2426 | 2876 | SI5870 | OTHL Running | 21
2428 | 2907 | GB7708 | AEYX Running | 373
2429 | 2876 | BE5343 | SKHG Running | 65
2434 | 2906 | RA6977 | SKHG Running | 438
2436 | 2897 | GI2602 | OTHL Running | 309
2437 | 2437 | FY2231 | MDY Running | 417
2437 | 2527 | LZ2505 | GGFI Running | 54
2437 | 2557 | XW4568 | GGFI Running | 239
2445 | 2993 | IH3117 | HENQ Running | 258
2453 | 3023 | YS3084 | HENQ Running | 316
2456 | 2927 | PH3168 | OTHL Running | 325
2458 | 2937 | BK7385 | AEYX Running | 274
2459 | 2936 | AJ8361 | SKHG Running | 49
2463 | 2967 | YL5980 | AEYX Running | 40
2467 | 2587 | BH6999 | GGFI Running | 179
2469 | 2469 | BT1022 | JMR Waiting | 450
2470 | 3053 | CE6996 | HENQ Running | 274
2483 | 3083 | FP4980 | HENQ Running | 42
2486 | 2957 | RS1536 | OTHL Running | 74
2488 | 2997 | OB2611 | AEYX Running | 291
2489 | 2966 | SN6660 | SKHG Running | 225
2497 | 2617 | RO2320 | GGFI Running | 431
2513 | 3113 | YB4870 | HENQ Running | 34
2515 | 2515 | SG7555 | KSJ Running | 211
2516 | 2987 | JU4028 | OTHL Running | 18
2518 | 3027 | MA7428 | AEYX Running | 85
2519 | 2996 | LT8080 | SKHG Running | 189
2527 | 2647 | RT3693 | GGFI Running | 365
2533 | 2677 | TD6513 | GGFI Running | 396
2543 | 3143 | BI8641 | HENQ Running | 13
2546 | 3005 | MB3250 | OTHL Running | 163
2548 | 3057 | HB1600 | AEYX Running | 406
2549 | 3026 | CE1485 | SKHG Running | 10
2557 | 2707 | LZ2505 | GGFI Running | 24
2562 | 3156 | PE5383 | HENQ Running | 286
2571 | 2571 | RP1389 | BUR Running | 379
2573 | 3186 | KU1575 | HENQ Running | 428
2576 | 3035 | UH2381 | OTHL Running | 162
2578 | 3087 | XZ1011 | AEYX Running | 388
2578 | 3117 | JK5854 | AEYX Running | 156
2579 | 3036 | RF5128 | SKHG Running | 322
2587 | 2731 | XW4568 | GGFI Running | 209
2603 | 3216 | DO3649 | HENQ Running | 269
2606 | 2606 | NL3630 | SKHG Waiting | 41
2606 | 3065 | NT3542 | OTHL Running | 462
2608 | 3147 | HF7943 | AEYX Running | 4
2617 | 2761 | BH6999 | GGFI Running | 149
2621 | 3246 | TY7283 | HENQ Running | 450
2630 | 2630 | WU4911 | LER Running | 20
2633 | 3276 | XT7284 | HENQ Running | 108
2636 | 3066 | XP1862 | SKHG Running | 363
2636 | 3095 | YS2179 | OTHL Running | 383
2638 | 3306 | BW3613 | HENQ Running | 1
2638 | 3151 | IL5709 | AEYX Running | 272
2647 | 3096 | NL3630 | SKHG Running | 183
2647 | 3126 | TX1983 | SKHG Running | 101
2647 | 2791 | RO2320 | GGFI Running | 401
2650 | 2650 | WU4911 | LER Waiting | 274
2663 | 3307 | JB8568 | HENQ Running | 158
2666 | 3125 | HO6322 | OTHL Running | 4
2666 | 3156 | XS5253 | SKHG Running | 242
2668 | 3181 | WD2150 | AEYX Running | 338
2674 | 3211 | LK1459 | AEYX Running | 368
2677 | 2821 | RT3693 | GGFI Running | 335
2693 | 3337 | KF5674 | HENQ Running | 250
2696 | 3129 | GN2723 | OTHL Running | 203
2696 | 3186 | PP4630 | SKHG Running | 195
2698 | 3241 | RY3235 | AEYX Running | 212
2705 | 3216 | VG5876 | SKHG Running | 159
2707 | 2851 | TD6513 | GGFI Running | 366
2721 | 3159 | IF8167 | OTHL Running | 322
2723 | 3367 | HT2553 | HENQ Running | 46
2726 | 2726 | SG7555 | KSJ Waiting | 262
2726 | 3246 | SO7413 | SKHG Running | 60
2726 | 3189 | WT5213 | OTHL Running | 39
2728 | 3271 | NI1688 | AEYX Running | 135
2731 | 2731 | LZ2505 | DLQ Running | 77
2753 | 3397 | IU6288 | HENQ Running | 176
2756 | 3219 | NG2840 | OTHL Running | 50
2756 | 3276 | TK6987 | SKHG Running | 35
2756 | 3249 | XX5071 | OTHL Running | 441
2758 | 3301 | FU4748 | AEYX Running | 337
2761 | 2881 | XW4568 | GGFI Running | 179
2783 | 3427 | YL8763 | HENQ Running | 59
2786 | 3306 | IY5923 | SKHG Running | 2
